"menu:item:660:title","2012–13 Campaign","Campagne 2012-2013","nl"
"menu:item:661:title","2014–15 Campaign","Campagne 2014-2015","nl"
"menu:item:623:title","About EU-OSHA","over EU-OSHA","nl"
"menu:item:637:title","About EU-OSHA","over EU-OSHA","nl"
"menu:item:1712:title","Accessibility","Toegankelijkheid","nl"
"menu:item:668:title","Ageing & OSH","Ouder worden en werk","nl"
"menu:item:994:title","Annual reports","Jaarverslagen","nl"
"menu:item:3073:title","Award winner 2014","Prijswinnaar 2014","nl"
"menu:item:3072:title","Become a media partner","Word mediapartner","nl"
"menu:item:1012:title","Benefits of OSH","Voordelen van veilig en gezond werken","nl"
"menu:item:1717:title","Blog","Blog","nl"
"menu:item:1718:title","Blog","Blog","nl"
"menu:item:1719:title","Blog","Blog","nl"
"menu:item:1003:title","Board & Bureau","Raad van bestuur en dagelijks bestuur","nl"
"menu:item:965:title","CLP","CLP: etikettering van chemische producten op het werk","nl"
"menu:item:989:title","Campaign toolkit","Campagnetoolkit","nl"
"menu:item:629:title","Campaigns & Awards","Campagnes en prijzen","nl"
"menu:item:674:title","Careers","Werken bij ons","nl"
"menu:item:1028:title","Composition of the advisory groups","Samenstelling van de adviesgroepen","nl"
"menu:item:1004:title","Composition of the board","Samenstelling van de raad van bestuur","nl"
"menu:item:1025:title","Composition of the bureau","Samenstelling van het dagelijks bestuur","nl"
"menu:item:1705:title","Contact us","Contact","nl"
"menu:item:996:title","Control standards","Veiligheidsnormen","nl"
"menu:item:672:title","Dangerous substances","Gevaarlijke stoffen","nl"
"menu:item:672:description","Dangerous substances in the workplace — safety and health information and advice from EU-OSHA","Gevaarlijke stoffen op de werkplek – informatie en advies van EU-OSHA over veiligheid en gezondheid","nl"
"menu:item:998:title","Data protection","Bescherming van gegevens","nl"
"menu:item:3076:title","Document register","Documenten register","nl"
"menu:item:649:title","EU directives","EU-richtlijnen","nl"
"menu:item:650:title","EU guidelines","EU-richtsnoeren","nl"
"menu:item:1018:title","EU poll 2009","EU-peiling 2009","nl"
"menu:item:984:title","EU poll 2012","EU-peiling 2012","nl"
"menu:item:983:title","EU poll 2013","EU-peiling 2013","nl"
"menu:item:656:title","EU polls on safety & health","EU-peilingen over veiligheid en gezondheid","nl"
"menu:item:1023:title","EU presidency","EU-voorzitterschap","nl"
"menu:item:993:title","EU risk observatory","Europese Waarnemingspost voor risico's","nl"
"menu:item:651:title","EU standards","EU-normen","nl"
"menu:item:1024:title","EU year","EU-jaar","nl"
"menu:item:979:title","EU-OSHA awards","EU-OSHA prijzen","nl"
"menu:item:628:title","Emerging risks","Opkomende risico's","nl"
"menu:item:969:title","Emerging risks","Opkomende risico's","nl"
"menu:item:669:title","Enterprise survey (ESENER)","Bedrijvenenquête (Esener)","nl"
"menu:item:995:title","Evaluation","Evaluatie","nl"
"menu:item:1513:title","Events","Evenementen","nl"
"menu:item:1708:title","Facebook","Facebook","nl"
"menu:item:981:title","Film award","Filmprijs","nl"
"menu:item:1020:title","Film criteria","Filmcriteria","nl"
"menu:item:3074:title","Finance & budget information","Financiële gegevens en begrotingsinformatie","nl"
"menu:item:1000:title","Finance and budget","Financiën en begroting","nl"
"menu:item:3071:title","Focal Points index page (menu position rule)","Indexpagina van de focal points (menu positie regel)","nl"
"menu:item:3077:title","Focal points details","Gegevens van de focal points","nl"
"menu:item:1002:title","Founding regulation","Oprichtingsverordening","nl"
"menu:item:1006:title","Fraud and conflict of interest prevention","Voorkomen van fraude en belangenconflicten","nl"
"menu:item:665:title","Future campaigns","Toekomstige campagnes","nl"
"menu:item:997:title","Good administrative behaviour","Goed administratief gedrag","nl"
