"menu:item:660:title","2012–13 Campaign","Kampania na lata 2012–13","pl"
"menu:item:661:title","2014–15 Campaign","Kampania na lata 2014-15","pl"
"menu:item:623:title","About EU-OSHA","EU-OSHA od środka  ","pl"
"menu:item:637:title","About EU-OSHA","EU-OSHA od środka ","pl"
"menu:item:1712:title","Accessibility","Dostępność","pl"
"menu:item:668:title","Ageing & OSH","Starzenie się a BHP","pl"
"menu:item:994:title","Annual reports","Sprawozdania roczne","pl"
"menu:item:3073:title","Award winner 2014","Laureat nagrody 2014","pl"
"menu:item:3072:title","Become a media partner","Zostań partnerem medialnym","pl"
"menu:item:1012:title","Benefits of OSH","Korzyści z BHP","pl"
"menu:item:1717:title","Blog","Blog","pl"
"menu:item:1718:title","Blog","Blog","pl"
"menu:item:1719:title","Blog","Blog","pl"
"menu:item:1003:title","Board & Bureau","Rada Zarządzająca i Biuro","pl"
"menu:item:965:title","CLP","CLP","pl"
"menu:item:989:title","Campaign toolkit","Zestaw narzędzi do prowadzenia kampanii","pl"
"menu:item:629:title","Campaigns & Awards","Kampanie i nagrody","pl"
"menu:item:674:title","Careers","Kariera","pl"
"menu:item:1028:title","Composition of the advisory groups","Skład grup doradczych","pl"
"menu:item:1004:title","Composition of the board","Skład Rady","pl"
"menu:item:1025:title","Composition of the bureau","Skład Biura","pl"
"menu:item:1705:title","Contact us","Skontaktuj się z nami","pl"
"menu:item:996:title","Control standards","Standardy kontroli","pl"
"menu:item:672:title","Dangerous substances","Substancje niebezpieczne","pl"
"menu:item:672:description","Dangerous substances in the workplace — safety and health information and advice from EU-OSHA","Substancje niebezpieczne w miejscu pracy – informacje i porady EU-OSHA dotyczące bezpieczeństwa i zdrowia","pl"
"menu:item:998:title","Data protection","Ochrona danych","pl"
"menu:item:3076:title","Document register","Rejestr dokumentów","pl"
"menu:item:649:title","EU directives","Dyrektywy UE","pl"
"menu:item:650:title","EU guidelines","Wytyczne UE","pl"
"menu:item:1018:title","EU poll 2009","Sondaż UE 2009","pl"
"menu:item:984:title","EU poll 2012","Sondaż UE 2012","pl"
"menu:item:983:title","EU poll 2013","Sondaż UE 2013","pl"
"menu:item:656:title","EU polls on safety & health","Sondaże UE na temat bezpieczeństwa i zdrowia ","pl"
"menu:item:1023:title","EU presidency","Prezydencja UE","pl"
"menu:item:993:title","EU risk observatory","Unijne obserwatorium ryzyka","pl"
"menu:item:651:title","EU standards","Normy UE","pl"
"menu:item:1024:title","EU year","Rok UE","pl"
"menu:item:979:title","EU-OSHA awards","Nagrody EU-OSHA","pl"
"menu:item:628:title","Emerging risks","Pojawiające się zagrożenia","pl"
"menu:item:969:title","Emerging risks","Pojawiające się zagrożenia","pl"
"menu:item:669:title","Enterprise survey (ESENER)","Badanie przedsiębiorstw (ESENER)","pl"
"menu:item:995:title","Evaluation","Ocena","pl"
"menu:item:1513:title","Events","imprez. Wydarzenia","pl"
"menu:item:1708:title","Facebook","Facebook","pl"
"menu:item:981:title","Film award","Nagroda filmowa","pl"
"menu:item:1020:title","Film criteria","Kryteria oceny filmu","pl"
"menu:item:3074:title","Finance & budget information","Informacje o finansach i budżecie","pl"
"menu:item:1000:title","Finance and budget","Finanse i budżet","pl"
"menu:item:3071:title","Focal Points index page (menu position rule)","Strona startowa punktów centralnych (reguła dotycząca pozycji menu)","pl"
"menu:item:3077:title","Focal points details","Dane kontaktowe punktów centralnych","pl"
"menu:item:1002:title","Founding regulation","Rozporządzenie ustanawiające EU-OSHA","pl"
"menu:item:1006:title","Fraud and conflict of interest prevention","Zapobieganie oszustwom i konfliktom interesów ","pl"
"menu:item:665:title","Future campaigns","Przyszłe kampanie","pl"
"menu:item:997:title","Good administrative behaviour","Dobra praktyka administracyjna","pl"
"menu:item:644:title","Good practice awards","Nagrody w konkursie dobrych praktyk","pl"
"menu:item:645:title","Governance","Dobre rządzenie","pl"
"menu:item:968:title","Green jobs","Zielone sektory","pl"
"menu:item:638:title","Healthy workplaces campaigns","Kampanie „Zdrowe i bezpieczne miejsce pracy”","pl"
"menu:item:967:title","Home","Start","pl"
"menu:item:2858:title","How to reach us","Jak się z nami skontaktować","pl"
"menu:item:992:title","Infographics","Infografika","pl"
"menu:item:646:title","Leadership & worker participation","Przywództwo i udział pracowników","pl"
"menu:item:1713:title","Legal notice","Informacja prawna","pl"
"menu:item:624:title","Legislation","Przepisy prawne","pl"
"menu:item:975:title","Legislation","Przepisy prawne","pl"
"menu:item:1709:title","LinkedIn","LinkedIn","pl"
"menu:item:1700:title","Links","Odsyłacze ","pl"
"menu:item:643:title","Mainstreaming OSH into education","Włączanie tematyki BHP do głównego nurtu edukacji ","pl"
"menu:item:642:title","Micro and small enterprises & OSH","Mikro- i małe przedsiębiorstwa a BHP","pl"
"menu:item:972:title","Mission & Vision","Misja i wizja","pl"
"menu:item:639:title","Musculoskeletal disorders","Zaburzenia układu mięśniowo-szkieletowego","pl"
"menu:item:640:title","Nanomaterials","Nanomateriały","pl"
"menu:item:990:title","Napo","Napo","pl"
"menu:item:974:title","National focal points","Krajowe punkty centralne","pl"
"menu:item:647:title","National legislation","Przepisy krajowe","pl"
"menu:item:655:title","OSHwiki","OSHwiki","pl"
"menu:item:1019:title","Participation criteria","Kryteria uczestnictwa","pl"
"menu:item:1704:title","Press","Prasa","pl"
"menu:item:1698:title","Press kit","Dla prasy","pl"
"menu:item:673:title","Press room","Informacje prasowe","pl"
"menu:item:671:title","Previous campaigns","Poprzednie kampanie","pl"
"menu:item:1706:title","Privacy notice","Polityka ochrony prywatności","pl"
"menu:item:1716:title","Privacy notice","Polityka ochrony prywatności","pl"
"menu:item:1716:description","Privacy policy for logged in users","Polityka ochrony prywatności zalogowanych użytkowników","pl"
"menu:item:1706:description","Privacy policy for non logged in users","Polityka ochrony prywatności niezalogowanych użytkowników","pl"
"menu:item:670:title","Procurement","Zamówienia","pl"
"menu:item:982:title","Project on OSH of older workers","Projekt 'BHP a pracownicy w starszym wieku'","pl"
"menu:item:652:title","Publications","Publikacje","pl"
"menu:item:964:title","REACH","REACH","pl"
"menu:item:1703:title","RSS","RSS","pl"
"menu:item:1005:title","Request of internal documents","Wniosek o dokumenty wewnętrzne","pl"
"menu:item:648:title","Risk assessment tool (OIRA)","Narzędzie oceny ryzyka (OIRA)","pl"
"menu:item:1696:title","Seminar reports","Raporty z seminariów","pl"
"menu:item:1026:title","Senior staff","Personel wyższego szczebla","pl"
"menu:item:1701:title","Social","Social","pl"
"menu:item:970:title","Strategy and programmes","Strategia i programy","pl"
"menu:item:653:title","Stress & psychosocial risks","Stres i zagrożenia psychospołeczne","pl"
"menu:item:626:title","Surveys & Statistics","Badania i statystyka ","pl"
"menu:item:631:title","Surveys & Statistics","Badania i statystyka ","pl"
"menu:item:625:title","Themes","Tematy","pl"
"menu:item:632:title","Themes","Tematy","pl"
"menu:item:627:title","Tools & Publications","Narzędzia i publikacje","pl"
"menu:item:634:title","Tools & Publications","Narzędzia i publikacje","pl"
"menu:item:1707:title","Twitter","Twitter","pl"
"menu:item:666:title","What we do","Czym się zajmujemy   ","pl"
"menu:item:663:title","Women & OSH","Kobiety a BHP","pl"
"menu:item:662:title","Work–related diseases","Choroby zawodowe","pl"
"menu:item:1710:title","YouTube","YouTube","pl"
"menu:item:659:title","Young people & OSH","Młodzi ludzie a BHP","pl"
"menu:item:986:title","e–guide VeSafe","e-przewodnik VeSafe","pl"
"menu:item:987:title","e–guide manage stress","e-przewodnik o zarządzaniu stresem","pl"
"menu:item:988:title","e–guide on ageing","e-przewodnik o starzeniu się pracowników","pl"
