"menu:item:660:title","2012–13 Campaign","Kampanja 2012–2013","sl"
"menu:item:661:title","2014–15 Campaign","Kampanja 2014–2015","sl"
"menu:item:623:title","About EU-OSHA","O EU-OSHA","sl"
"menu:item:637:title","About EU-OSHA","O EU-OSHA","sl"
"menu:item:1712:title","Accessibility","Dostopnost","sl"
"menu:item:668:title","Ageing & OSH","Staranje ter varnost in zdravje pri delu","sl"
"menu:item:994:title","Annual reports","Letna poročila","sl"
"menu:item:3073:title","Award winner 2014","Prejemnik nagrade 2014","sl"
"menu:item:3072:title","Become a media partner","Postanite medijski partner","sl"
"menu:item:1012:title","Benefits of OSH","Koristi varnosti in zdravja pri delu","sl"
"menu:item:1717:title","Blog","Spletni dnevnik","sl"
"menu:item:1718:title","Blog","Spletni dnevnik","sl"
"menu:item:1719:title","Blog","Spletni dnevnik","sl"
"menu:item:1003:title","Board & Bureau","Upravni odbor in biro","sl"
"menu:item:965:title","CLP","CLP","sl"
"menu:item:989:title","Campaign toolkit","Zbirka orodij za vodenje kampanje","sl"
"menu:item:629:title","Campaigns & Awards","Kampanje in nagrade","sl"
"menu:item:674:title","Careers","Zaposlitev","sl"
"menu:item:1028:title","Composition of the advisory groups","Sestava svetovalnih skupin","sl"
"menu:item:1004:title","Composition of the board","Sestava upravnega odbora","sl"
"menu:item:1025:title","Composition of the bureau","Sestava biroja","sl"
"menu:item:1705:title","Contact us","Kontakt","sl"
"menu:item:996:title","Control standards","Standardi kontrole","sl"
"menu:item:672:title","Dangerous substances","Nevarne snovi","sl"
"menu:item:672:description","Dangerous substances in the workplace — safety and health information and advice from EU-OSHA","Nevarne snovi na delovnem mestu – informacije in nasveti EU-OSHA v zvezi z varnostjo in zdravjem","sl"
"menu:item:998:title","Data protection","Varstvo podatkov","sl"
"menu:item:3076:title","Document register","Register dokumentov","sl"
"menu:item:649:title","EU directives","Direktive EU","sl"
"menu:item:650:title","EU guidelines","Smernice EU","sl"
"menu:item:1018:title","EU poll 2009","Javnomnenjska raziskava EU 2009","sl"
"menu:item:984:title","EU poll 2012","Javnomnenjska raziskava EU 2012","sl"
"menu:item:983:title","EU poll 2013","Javnomnenjska raziskava EU 2013","sl"
"menu:item:656:title","EU polls on safety & health","Javnomnenjske raziskave EU o varnosti in zdravju pri delu","sl"
"menu:item:1023:title","EU presidency","Predsedovanje EU","sl"
"menu:item:993:title","EU risk observatory","Opazovalnica tveganj EU","sl"
"menu:item:651:title","EU standards","Standardi EU","sl"
"menu:item:1024:title","EU year","Leto EU","sl"
"menu:item:979:title","EU-OSHA awards","Nagrade EU-OSHA","sl"
"menu:item:628:title","Emerging risks","Nastajajoča tveganja","sl"
"menu:item:969:title","Emerging risks","Nastajajoča tveganja","sl"
"menu:item:669:title","Enterprise survey (ESENER)","Raziskava o podjetjih (ESENER)","sl"
"menu:item:995:title","Evaluation","Evalvacije","sl"
